Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,0.0,ORtg,DRtg
1,Precious Achiuwa\achiupr01,C,22,TOR,73,28,1725,7.7,17.5,.439,1.6,4.5,.359,6.1,13.0,.468,2.3,3.8,.595,4.2,9.5,13.7,2.4,1.1,1.2,2.4,4.4,19.2,0.0,105,110
2,Steven Adams\adamsst01,C,28,MEM,76,75,1999,5.0,9.2,.547,0.0,0.0,.000,5.0,9.2,.548,2.6,4.8,.543,8.4,9.8,18.2,6.1,1.6,1.4,2.8,3.7,12.6,0.0,125,108
3,Bam Adebayo\adebaba01,C,24,MIA,56,56,1825,11.1,20.0,.557,0.0,0.2,.000,11.1,19.8,.562,7.0,9.3,.753,3.8,11.7,15.5,5.2,2.2,1.2,4.1,4.7,29.3,0.0,117,104
4,Santi Aldama\aldamsa01,PF,21,MEM,32,0,360,7.0,17.5,.402,0.8,6.4,.125,6.2,11.2,.560,2.7,4.3,.625,4.4,7.2,11.6,2.8,0.8,1.3,2.1,4.8,17.5,0.0,101,111
5,LaMarcus Aldridge\aldrila01,C,36,BRK,47,12,1050,11.6,21.1,.550,0.6,2.1,.304,11.0,19.0,.578,4.1,4.7,.873,3.4,8.5,11.9,1.9,0.6,2.2,2.0,3.6,28.0,0.0,119,112
6,Nickeil Alexander-Walker\alexani01,SG,23,TOT,65,21,1466,8.5,22.9,.372,3.5,11.4,.311,5.0,11.5,.433,2.7,3.7,.743,1.2,5.1,6.3,5.3,1.5,0.8,3.1,3.5,23.3,0.0,98,114
7,Grayson Allen\allengr01,SG,26,MIL,66,61,1805,6.8,15.1,.448,4.2,10.4,.409,2.6,4.8,.533,1.7,2.0,.865,0.9,5.1,5.9,2.7,1.2,0.5,1.1,2.6,19.5,0.0,122,114
8,Jarrett Allen\allenja01,C,23,CLE,56,56,1809,10.2,15.0,.677,0.0,0.3,.100,10.2,14.8,.688,4.6,6.4,.708,5.3,11.3,16.6,2.5,1.2,2.1,2.6,2.7,25.0,0.0,132,106
9,Jose Alvarado\alvarjo01,PG,23,NOP,54,1,834,7.8,17.4,.446,1.9,6.5,.291,5.9,10.9,.538,2.1,3.1,.679,1.5,4.4,5.9,9.0,4.2,0.4,2.4,4.3,19.5,0.0,114,109
10,Justin Anderson\anderju01,SF,28,TOT,16,6,316,5.6,14.8,.379,2.3,9.2,.254,3.3,5.6,.583,2.3,3.0,.789,0.6,6.5,7.1,5.1,1.2,0.9,1.2,3.4,15.9,0.0,109,116
11,Kyle Anderson\anderky01,PF,28,MEM,69,11,1484,6.7,15.1,.446,1.2,3.5,.330,5.6,11.6,.481,2.2,3.4,.638,2.2,9.6,11.9,5.9,2.5,1.5,2.3,3.5,16.8,0.0,110,106
12,Giannis Antetokounmpo\antetgi01,PF,27,MIL,67,67,2204,15.0,27.1,.553,1.5,5.3,.293,13.5,21.9,.616,12.1,16.7,.722,2.9,14.0,17.0,8.5,1.6,2.0,4.8,4.6,43.6,0.0,124,106
13,Thanasis Antetokounmpo\antetth01,SF,29,MIL,48,6,473,7.1,13.0,.547,0.2,1.4,.143,6.9,11.6,.596,2.9,4.7,.630,4.1,6.2,10.3,2.2,1.6,1.2,2.6,6.9,17.4,0.0,113,112
14,Carmelo Anthony\anthoca01,PF,37,LAL,69,3,1793,8.5,19.3,.441,4.0,10.6,.375,4.5,8.7,.521,3.5,4.3,.830,1.7,6.0,7.7,1.8,1.3,1.4,1.6,4.4,24.6,0.0,114,114
15,Cole Anthony\anthoco01,PG,21,ORL,65,65,2059,8.4,21.4,.391,3.1,9.2,.338,5.3,12.2,.432,5.1,5.9,.854,0.8,7.4,8.2,8.7,1.1,0.4,4.0,4.0,24.9,0.0,103,114
16,OG Anunoby\anunoog01,SF,24,TOR,48,48,1728,8.9,20.2,.443,3.3,9.2,.363,5.6,11.0,.511,2.6,3.4,.754,2.1,5.5,7.6,3.6,2.1,0.7,2.3,3.8,23.8,0.0,112,111
17,Ryan Arcidiacono\arcidry01,PG,27,NYK,10,0,76,3.9,7.9,.500,2.6,5.9,.444,1.3,2.0,.667,0.0,0.0,0.0,0.0,5.3,5.3,2.6,0.7,0.0,2.0,3.3,10.5,0.0,111,115
18,Trevor Ariza\arizatr01,SF,36,LAL,24,11,462,3.4,10.3,.333,2.1,7.7,.270,1.3,2.6,.520,1.0,1.9,.556,1.0,7.5,8.5,2.8,1.3,0.6,1.1,2.1,10.0,0.0,97,114
19,D.J. Augustin\augusdj01,PG,34,TOT,55,2,883,5.1,12.0,.423,3.7,8.9,.415,1.4,3.1,.448,2.1,2.3,.884,0.6,3.1,3.7,5.8,0.9,0.1,3.0,2.1,15.9,0.0,112,120
20,Deni Avdija\avdijde01,SF,21,WAS,82,8,1984,6.2,14.4,.432,2.0,6.5,.317,4.2,8.0,.525,2.6,3.4,.757,1.3,9.3,10.6,4.2,1.5,1.1,2.2,4.7,17.1,0.0,106,113
21,Joel Ayayi\ayayijo01,SG,21,WAS,7,0,20,2.5,14.8,.167,0.0,2.5,.000,2.5,12.4,.200,0.0,0.0,0.0,2.5,4.9,7.4,9.9,0.0,0.0,0.0,0.0,4.9,0.0,79,120
22,Deandre Ayton\aytonde01,C,23,PHO,58,58,1713,12.4,19.6,.634,0.2,0.5,.368,12.2,19.0,.642,3.0,4.0,.746,4.2,12.5,16.7,2.4,1.1,1.1,2.6,4.0,28.0,0.0,124,105
